Platform,Solana Address,BPS
solana,Gx6hSpWBYAuPTrZEPh3SHPWZZAoYxujdFezSfYoKoVC6,100
solana,7T7irBL87S8gduA4DMm5mFvFYQW3zCtQqQxcuixvnvBW,100
solana,AqALBqQfYNmmREqpzEFL8GSqqzWj1gvrGrs2KLe9zo7J,100
solana,51K1NhJ46LiE4WuzDGU7EhniKKPV7hEcPKvCiut1BuQV,100
solana,HMmd2BartLH328HcuggjcTnbc2tMTqw8iCYMrDjtBiAb,100
solana,BgRKH1y1B5yy69C8qRew8hMmw8pRs6E16nzzW5hNfBqD,100
solana,31HJG7GfVDbA2hRdNYgZMbW8caeYzkQaPe2u7Ms1Xxwr,100
solana,HKU8S9n3pMduAbScpUEVATn8YuxCpDphhq8Gi8rpzVtJ,100
solana,4NB9E3ASK4KS6jmTjoGLh6VPmAHVioD8bG4ALowYRT3E,100
solana,FmvmkcVh6QMzGQrYS8jM7JT6jzAAxxWjub8a66SFDpQM,100
solana,HmVre1UrXkWgbdxUvCraDwSbtS6w9cTuuuPv44WtJgS9,100
solana,4wz4hTRcoXJFgpNyij9q6qPGJ6csiuxQJ7GbTKzxoQh2,100
solana,49ibxQ2AiapGwpEEmJHjugbqZ7YJhPLDboiNf7zK5HAR,100
solana,3643iWwacdV9jWqTpFXCeXGwbwghUoVHmtVyDWwCxmRK,100
solana,2Wh6bu3wpqXgg4zGHeee4JhjJmgdaLqrXZxdw8rop8KS,100
solana,Cmm9gLP6MgaFfjBFPosQsdrpGQZx41DAc5sB3TXCQDrg,100
solana,G2P7NLLfG8EcXjndX512uaUzRKEAAsXDhjo7M9uRLqGp,100
solana,Bm5Zanszt3SgHLrhRVqskxSdPnpLVFVau5dJav6pyvC8,100
solana,9bPV6TgfVNueHmCBv8Vp1sQQ8FK1MZueUpvMzYJ1cK7U,100
solana,FN1VzRvwQQp5gBMdEr5VFehpMexThZjAc9D6DXDansrB,100
solana,EE1wsFhCcseYyyNp7W7qef3tr2QhZKnwwKcuVCHC3j3B,100
solana,EP1WGf6Jk8cKnMDnrbJu3PHYGLK65dgn8EQBPr35Nznr,100
solana,8wDgM5dPW7swGUhFnypCusmBUVrZmqRKS8xhGE5AWX4R,100
solana,AKC7KHtnWW9AqtbanKfBFvJi8TSnwuQx3UvdZLdXNdjB,100
solana,GSdS5VPpMHNBKfhWvxLWDXVqtdZJVicRUW3Ck1f4yDBc,100
solana,FGyYiWQWmSim2uxf3VGep4EQywGvKgFgXLGdVT2FDaGK,100
solana,DBQYkvVK9bMzX449A5mwgJ2u83D5rdq8UebzsvwUhdRN,100
solana,CMvnJXMMf6PZqdgVpM8nNgx7c1hC8GWigtEecgXck1GU,100
solana,FJjKiSDr25m7aqgHqfMvzJjGqK5BgH29xBUymDtjokFJ,100
solana,dCYzh5KXbKYsXHxNt5cr2pMvsMPbuksGnV3LmAYTmyp,100
solana,8ap34QDjQ7zzaTd3ChZxydUQf922ENAvfy6CRG7aBjWG,100
solana,ESNFp6PnXHQzpkascrtyKuke6nnCLcwwWvdBMDdjg75X,100
solana,9FWSj2BnRaLnNkKaZHQbDqttYvFWwwfF6rdD2yMikCum,100
solana,AiFthVkNYGHQ3w52oNZXiWdsaCZC4S4QozpYicscF2we,100
solana,2xXygejEnAZcjVUUT5MgYAKFqkGbMD2i8jPWw9DjiTJW,100
solana,7w7NNXCMWv57UCoVKpAraGPC8pYE7eb6P9QcJiHSH8YT,100
solana,4Sur7qwxPcEAWYZcsiGhFSvxjpUCG6dwDzbzQzg3nonH,100
solana,5rcrbf5545cLEwFvXKzrqnsykQAfkhR9xFHTCA9wvhsV,100
solana,7KVhzrMn3Pu9AqyyPzUKZ3g2q3PPSsKJX1saJ8QbHmLC,100
solana,Ac3kzQr7JZrtynwHjiV3K29Ex4MD5nyScYWacqGgKZUZ,100
solana,G5PJd7Hh3FZ2zEczJ1VUL3vAXmGc5qjzAueHHx8AjETN,100
solana,Fgt5FSynRniN3mkZdiwZbcUxe3D6ZmewNnNuyQhseh5g,100
solana,2QHn1QfzM2aKPKEthY7LcWV7CPrT2amYF6nrRewGhLR7,100
solana,EgtheD1q8kfhM1Fi2oBQzFWyQgWPy5myU6h4kRitB9Ue,100
solana,7EWCt1mXVaP1vpqC6mVwXCPk7eQHMnCDuNt99CRRALAs,100
solana,3FJMdJYhMXZXkFN74XqH3ERW28EAMxyXZLeQTt51RiNR,100
solana,3vuXUn7K6GtxSV2XEkuRfHtKi4Vjvcx4YFUNaPsGFSK9,100
solana,9aQ15qWMC1dGH9htGjj4TkNGjGwui8VNSuqXFQaybmLb,100
solana,GgQTYMNAKa2As8HVLJkPQtSd6VhFts4oGpdfwu71zBwa,100
solana,2xXygejEnAZcjVUUT5MgYAKFqkGbMD2i8jPWw9DjiTJW,100
solana,EwAYrWWXhhkxGkP8vxZ1fX95ZkSBtCztJ6EHKZ4PHxF4,100
solana,84tmHMc9BmjGNiQAf9QZqZhpvczcNgL7cucMB48gwRoq,100
solana,EjyyrgF8Fea5oU327hPXGaR1tCXuYbDCwg1aG5p2SuGx,100
solana,GAjXY3NAogwJjEXj9Y1MTtvX736wS3rTCtjDg9sZPKmY,100
solana,3G97yqNeFkfJYWTkt37bf8Xj4QmaW36AKVcBaohnarTC,100
solana,7TSfGXY3hZw9DTSEjXCVMpMdj22rtmYkt92XXUWKCGkG,100
solana,Ax7zikDTd6g6z6h2BKMwuS7pnSM8dVDFdK71U3Ntrt5i,100
solana,E7b1DYvrQePsct2qHKbu9hFB41LAMgHGdbp91fbKpnE1,100
solana,GMnV2cZByVENuyzokoWdPqYMdWZa62omgz1h4QuAsKjj,100
solana,AgEo1u5Lg3B5Yp4cKMiSsVJqwpmUesPuSgHETqha939X,100
solana,8NdcaYUC1X5CP7FMDip78uqtqmCt8GcZdCzLRTYTihmb,100
solana,GrKnWv6NJoM3sZJpQZKgKw3hF4AdoxNNh8BLivEXPjzu,100
solana,By1NhasJiTTsKC53WJV1w5kzg2CeUBY1Ps2eVLvvcGZb,100
solana,CFFyM3FxmT9yVESW8D82TC5xsczpX2LAJbY1RqkSM3eJ,100
