Rank,FID,Username,Display Name,Cast Count,Solana Address,ETH Address,PFP URL,Neynar Score
29,316882,lystenlyst,Lystenlysts,1,8ap34QDjQ7zzaTd3ChZxydUQf922ENAvfy6CRG7aBjWG,0xa1beaa6d002a332c11b01633345fda9865f5a53a,https://i.imgur.com/YeyG2qt.jpg,0.390
30,322621,mijan444,Mizanur Rahman ,1,7w7NNXCMWv57UCoVKpAraGPC8pYE7eb6P9QcJiHSH8YT,0x687c5fb45841a8defdc43035517da8ef5b1a1e09,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/4a04c106-ab18-47f0-5d6f-202160b43000/rectcrop3,0.290
31,327336,lulolezz,Lulolezz 🎩,1,FJjKiSDr25m7aqgHqfMvzJjGqK5BgH29xBUymDtjokFJ,0x3e5f7a4f4b1a33d23c272b3548afc3c43a0f49b9,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/abc0d9e5-9f2c-40e0-e5cb-6b3b3b5a4d00/original,0.240
32,328391,halee,Halee,1,2Wh6bu3wpqXgg4zGHeee4JhjJmgdaLqrXZxdw8rop8KS,0x95ae60ca12bc32a4a77d19545dd9702c049ccece,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/076d793c-ffd3-4af2-ef39-ffc5bfb24200/original,0.420
33,330947,skyzo,Skyzo,1,EjyyrgF8Fea5oU327hPXGaR1tCXuYbDCwg1aG5p2SuGx,0xb903f3b01e14a140b53b8c8034656a9aa410b8f6,https://ipfs.decentralized-content.com/ipfs/QmRyG2jieNfv423VfJX8VS1iGqEtMABS1GPEmxwvFaRP2f,0.310
34,337036,jeann,Jean,1,FN1VzRvwQQp5gBMdEr5VFehpMexThZjAc9D6DXDansrB,0xbc912d3aba35ccb2c6c7ac0d445b9f3e866adb41,https://i.imgur.com/OWkrSKY.jpg,0.470
35,349002,picks0,picks,1,3FJMdJYhMXZXkFN74XqH3ERW28EAMxyXZLeQTt51RiNR,0x3c64ef2b34073f927cf4047f0bbf5295209bf301,https://i.imgur.com/mgRqef0.jpg,0.870
36,350139,joshisdead.eth,joshisdead.eth,1,EE1wsFhCcseYyyNp7W7qef3tr2QhZKnwwKcuVCHC3j3B,0x2e5e9c6358c201c4546b971c2b41882585e270df,https://i.imgur.com/g63pK5y.jpg,0.990
37,361741,plabon,Plabon,1,3vuXUn7K6GtxSV2XEkuRfHtKi4Vjvcx4YFUNaPsGFSK9,0x15ff90c6a5dfdc579c2f3581006c863a71e6f0fb,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/cf592305-9e59-4521-6410-59d36739f300/original,0.340
38,363508,luckynguyen,Lucynguyen,1,CMvnJXMMf6PZqdgVpM8nNgx7c1hC8GWigtEecgXck1GU,0x9568170e6e55fec7ab71b9a738f061c79b91588c,https://imagedelivery.net/g4iQ0bIzMZrjFMgjAnSGfw/93805f7f-8c87-435b-9e7d-8c65b171dc00/public,0.440
39,375536,jdotfinn,J Finn 🎩,1,9bPV6TgfVNueHmCBv8Vp1sQQ8FK1MZueUpvMzYJ1cK7U,0xb642b7b23c84ddc446dc364b1f714cee6bfd0908,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/9c173af3-ddf3-4e19-5f43-b9f56b996100/rectcrop3,1.000
40,376158,bijoyraj,Deb Raj,1,GRXDA9rSRaRGBVPiVuZSxGpPgfWsRPf4r8gAfmJ3ew9Q,0x6ed76ddd2718d23b5c7d631f0cc2a207bed589b3,https://i.imgur.com/hDHaJpe.jpg,0.270
